"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-06-22 13:10:00",0,0,0,0,0,0,0,0
"2012-06-22 13:25:00",0.394,0,0,0.398,0,0.806,0.404,0.406
"2012-06-22 13:40:00",1.186,0.796,1.208,1.186,0.794,0.806,1.204,0.812
"2012-06-22 13:55:00",1.58,1.592,1.204,1.584,1.588,1.208,1.608,1.218
"2012-06-22 14:10:00",1.974,1.592,1.608,1.584,1.588,1.612,1.608,1.218
"2012-06-22 14:25:00",5.53,4.776,4.824,4.752,5.558,4.434,4.824,4.872
"2012-06-22 14:40:00",2.37,2.388,1.208,1.982,1.588,1.208,1.608,0.812
"2012-06-22 14:55:00",1.184,0.796,1.204,0.792,1.192,0.806,0.804,0.812
"2012-06-22 15:10:00",4.346,3.98,3.62,3.96,3.97,4.03,3.62,3.654
"2012-06-22 15:25:00",3.554,3.184,2.812,3.168,3.176,2.418,2.812,2.842
"2012-06-22 15:40:00",3.95,3.184,3.62,3.566,3.176,3.224,3.216,2.842
"2012-06-22 15:55:00",3.95,3.184,2.812,3.168,3.176,3.224,3.216,2.436
"2012-06-22 16:10:00",3.554,1.986,2.012,2.376,1.986,1.612,2.012,2.03
"2012-06-22 16:25:00",2.37,1.994,1.608,1.584,1.984,1.612,1.608,1.624
"2012-06-22 16:40:00",2.764,1.592,1.608,1.584,1.986,1.208,2.008,1.218
"2012-06-22 16:55:00",1.976,1.592,0.804,1.584,1.192,0.806,1.208,1.218
"2012-06-22 17:10:00",1.974,1.19,1.608,1.584,1.19,1.21,1.608,0.812
"2012-06-22 17:25:00",2.766,1.592,0.804,1.19,1.588,1.208,1.608,0.812
"2012-06-22 17:40:00",2.37,1.198,0.804,1.186,1.588,0.806,0.804,0.812
"2012-06-22 17:55:00",2.37,1.592,1.608,1.584,1.588,1.612,1.608,0.812
"2012-06-22 18:10:00",2.764,1.986,1.608,1.584,1.986,1.612,2.012,1.218
"2012-06-22 18:25:00",4.74,3.184,2.412,3.168,3.176,2.418,2.812,2.436
"2012-06-22 18:40:00",2.37,1.592,1.608,1.982,1.588,1.612,2.012,1.624
"2012-06-22 18:55:00",2.37,2.388,1.608,1.584,1.588,1.208,2.008,0.812
"2012-06-22 19:10:00",1.58,0.796,0.804,1.186,1.588,1.21,1.208,0.812
"2012-06-22 19:25:00",3.95,3.184,2.412,3.168,3.176,2.82,3.216,2.436
"2012-06-22 19:40:00",5.134,4.374,4.824,4.752,4.368,4.836,4.42,4.466
"2012-06-22 19:55:00",3.95,3.586,3.216,2.774,3.176,2.822,3.62,2.436
"2012-06-22 20:10:00",1.58,1.592,1.608,1.584,1.588,1.208,1.608,1.624
"2012-06-22 20:25:00",3.95,3.578,3.216,3.96,3.97,3.628,3.62,2.842
"2012-06-22 20:40:00",6.714,5.974,4.824,5.544,5.558,5.238,6.028,4.466
"2012-06-22 20:55:00",3.554,3.184,3.216,3.566,3.574,3.224,3.216,2.436
"2012-06-22 21:10:00",3.95,3.98,3.62,3.96,3.572,3.224,4.02,3.248
"2012-06-22 21:25:00",3.16,2.388,2.412,2.376,2.384,2.418,2.412,2.03
"2012-06-22 21:40:00",1.58,1.19,0.804,1.186,1.19,0.806,1.608,0.812
"2012-06-22 21:55:00",0.79,1.198,0.804,0.792,0.794,0.806,0.804,0.812
"2012-06-22 22:10:00",2.37,0.796,1.204,1.19,1.588,1.208,1.208,0.812
"2012-06-22 22:25:00",2.37,1.986,2.012,1.978,1.588,1.612,2.008,1.624
"2012-06-22 22:40:00",7.11,5.966,6.024,6.336,6.352,6.448,6.432,5.684
"2012-06-22 22:55:00",9.084,7.566,6.84,7.132,7.146,6.046,7.64,6.09
"2012-06-22 23:10:00",2.764,2.79,2.412,2.77,2.78,2.418,2.412,2.436
"2012-06-22 23:25:00",2.764,1.986,2.412,2.376,2.382,2.014,2.412,2.03
"2012-06-22 23:40:00",3.556,3.184,2.412,2.774,2.78,2.418,3.216,2.436
"2012-06-22 23:55:00",1.974,2.388,2.412,2.376,1.984,1.612,1.608,1.624
"2012-06-23 00:10:00",2.37,1.592,1.608,1.584,1.986,1.612,1.608,1.624
"2012-06-23 00:25:00",1.58,1.198,0.804,1.584,1.588,1.612,1.608,0.812
"2012-06-23 00:40:00",0,0.394,0.804,0,0,0,0,0
"2012-06-23 00:55:00",0,0,0,0,0,0,0,0
