,pred,sd,CI95up,CI95low,CI50up,CI50low
1,1.082087803,0.023843066,1.128819354,1.035356253,1.098169707,1.0660059
2,1.327470699,0.026383216,1.379180853,1.275760545,1.345265908,1.30967549
3,1.6639444,0.025281408,1.71349505,1.614393751,1.680996451,1.64689235
4,2.37647654,0.018353097,2.412447949,2.340505131,2.388855516,2.364097564
5,3.942420068,0.018102583,3.977900478,3.906939657,3.954630074,3.930210061
6,2.833727354,0.031329633,2.895132306,2.772322402,2.85485887,2.812595838
7,2.14559042,0.021950167,2.188611958,2.102568883,2.160395583,2.130785257
8,2.278796251,0.022669472,2.323227598,2.234364903,2.294086577,2.263505924
9,2.584281719,0.022920346,2.629204771,2.539358668,2.599741257,2.568822181
10,3.273966022,0.027799662,3.328452358,3.219479686,3.292716609,3.255215435
11,2.953850762,0.039431788,3.031135646,2.876565879,2.980447099,2.927254426
12,1.374086762,0.022762618,1.418700674,1.32947285,1.389439915,1.358733609
13,0.157277514,0.020040789,0.196556739,0.11799829,0.170794821,0.143760208
14,3.57301886,0.056892576,3.684526259,3.461511461,3.611392319,3.534645401
15,1.744166587,0.022931189,1.789110891,1.699222283,1.759633439,1.728699735
16,2.744736258,0.047632768,2.838094768,2.651377748,2.776864072,2.712608444
17,5.143859321,0.091816297,5.323815957,4.963902686,5.205788473,5.08193017
18,3.044468533,0.042917375,3.128585044,2.960352023,3.073415863,3.015521203
19,3.758700909,0.033462086,3.824285392,3.693116426,3.781270743,3.736131075
20,4.448569624,0.041180992,4.529282886,4.367856363,4.476345782,4.420793467
21,3.573296532,0.037453249,3.646703551,3.499889513,3.598558364,3.548034699
22,1.581386574,0.017236948,1.615170371,1.547602776,1.593012719,1.569760429
23,0.743284207,0.019203989,0.780923333,0.705645081,0.756237101,0.730331314
24,1.220114542,0.024282952,1.267708254,1.172520831,1.236493145,1.20373594
25,0.879172171,0.01630123,0.911121994,0.847222347,0.890167183,0.868177158
26,0.260541501,0.017911501,0.295647399,0.225435604,0.272622625,0.248460377
27,0.900127994,0.016406624,0.932284387,0.867971601,0.911194094,0.889061894
28,1.224801579,0.028054558,1.279787502,1.169815656,1.243724091,1.205879068
29,2.279650016,0.028404586,2.335321981,2.22397805,2.298808618,2.260491414
30,1.582179844,0.018775111,1.618978385,1.545381303,1.594843464,1.569516224
31,2.143594841,0.019380523,2.181579968,2.105609715,2.156666805,2.130522877
32,2.984226479,0.015528719,3.014662208,2.95379075,2.994700441,2.973752517
33,1.950424788,0.029206955,2.007669368,1.893180208,1.97012458,1.930724996
34,1.031446608,0.027454198,1.085255848,0.977637367,1.049964183,1.012929032
35,1.07795111,0.020901226,1.11891676,1.03698546,1.092048772,1.063853447
36,0.981588617,0.015277125,1.011531233,0.951646002,0.991892882,0.971284353
37,1.438331799,0.022830368,1.483078497,1.393585101,1.453730648,1.42293295
38,1.19873734,0.01439864,1.226958155,1.170516524,1.208449075,1.189025605
39,1.880606302,0.017174775,1.914268241,1.846944362,1.892190511,1.869022092
40,2.415490789,0.009936247,2.434965475,2.396016103,2.422192686,2.408788892
41,2.458205032,0.013209967,2.484096092,2.432313971,2.467115019,2.449295044
42,2.570011316,0.028861485,2.626578787,2.513443845,2.589478092,2.55054454
43,2.779685107,0.016546578,2.812115804,2.74725441,2.790845604,2.76852461
44,1.114898057,0.014818201,1.143941197,1.085854916,1.124892781,1.104903332
45,0.382562156,0.010178346,0.402511347,0.362612965,0.389427346,0.375696966
46,1.043399786,0.009819877,1.062646392,1.02415318,1.050023192,1.036776379
47,1.270080285,0.015551103,1.300559886,1.239600683,1.280569344,1.259591225
48,2.622605039,0.025827623,2.67322625,2.571983828,2.640025506,2.605184572
49,1.311959364,0.016413111,1.34412847,1.279790259,1.323029839,1.300888889
50,2.293642004,0.022034076,2.336828,2.250456008,2.308503763,2.278780245
