,1,2,3,4,5,6,7,8
07/04/2012 00:05,0,0,0,0,0,0,0,0
07/04/2012 00:10,0,0,0,0,0,0,0,0
07/04/2012 00:15,0,0,0,0,0,0,0,0
07/04/2012 00:20,0,0,0,0,0,0,0,0
07/04/2012 00:25,0,0,0,0,0,0,0,0
07/04/2012 00:30,0,0,0,0,0,0,0,0
07/04/2012 00:35,0,0,0,0,0,0,0,0
07/04/2012 00:40,0,0,0,0,0,0,0,0
07/04/2012 00:45,0,0,0,0,0,0,0,0
07/04/2012 00:50,0,0,0,0,0,0,0,0
07/04/2012 00:55,0,0,0,0,0,0,0,0
07/04/2012 01:00,0,0,0,0,0,0,0,0
07/04/2012 01:05,0,0,0,0,0,0,0,0
07/04/2012 01:10,0,0,0,0,0,0,0,0
07/04/2012 01:15,0,0,0,0,0,0,0,0
07/04/2012 01:20,0,0,0,0,0,0,0,0
07/04/2012 01:25,0,0,0,0,0,0,0,0
07/04/2012 01:30,0,0,0,0,0,0,0,0
07/04/2012 01:35,0,0,0,0,0,0,0,0
07/04/2012 01:40,0,0,0,0,0,0,0,0
07/04/2012 01:45,0,0,0,0,0,0,0,0
07/04/2012 01:50,0,0,0,0,0,0,0,0
07/04/2012 01:55,0,0,0,0,0,0,0,0
07/04/2012 02:00,0,0,1.2,0,0,0,0,0
07/04/2012 02:05,0,0,0,0,0,0,0,0
07/04/2012 02:10,0,0,0,0,0,0,0,0
07/04/2012 02:15,0,0,0,0,0,0,0,0
07/04/2012 02:20,0,0,0,0,0,0,0,0
07/04/2012 02:25,0,0,0,0,0,0,0,0
07/04/2012 02:30,0,0,0,0,0,0,0,0
07/04/2012 02:35,0,0,0,0,0,0,0,0
07/04/2012 02:40,0,0,0,0,0,0,0,0
07/04/2012 02:45,0,0,0,0,0,0,0,0
07/04/2012 02:50,0,0,0,0,0,0,0,0
07/04/2012 02:55,0,0,0,0,0,0,0,0
07/04/2012 03:00,0,0,0,0,0,0,0,0
07/04/2012 03:05,0,0,0,0,0,0,0,0
07/04/2012 03:10,0,0,0,0,0,0,0,0
07/04/2012 03:15,0,0,0,0,0,0,0,0
07/04/2012 03:20,0,0,0,0,0,0,0,0
07/04/2012 03:25,0,0,0,0,0,0,0,0
07/04/2012 03:30,0,0,0,0,0,0,0,0
07/04/2012 03:35,0,0,0,0,0,0,0,0
07/04/2012 03:40,0,0,0,0,0,0,0,0
07/04/2012 03:45,0,0,0,0,0,0,0,0
07/04/2012 03:50,0,0,0,0,0,0,0,0
07/04/2012 03:55,0,0,0,0,0,0,0,0
07/04/2012 04:00,0,0,0,0,0,0,0,0
07/04/2012 04:05,0,0,0,0,1.188,0,0,0
07/04/2012 04:10,0,0,0,0,0,0,0,0
07/04/2012 04:15,0,0,0,0,0,0,0,0
07/04/2012 04:20,0,0,0,0,0,0,0,0
07/04/2012 04:25,0,0,0,0,0,0,0,0
07/04/2012 04:30,0,0,0,0,0,0,0,0
07/04/2012 04:35,0,0,0,0,0,0,0,0
07/04/2012 04:40,0,0,0,0,0,0,0,0
07/04/2012 04:45,0,0,0,0,0,0,0,0
07/04/2012 04:50,0,0,0,0,0,0,0,0
07/04/2012 04:55,0,0,0,0,0,0,0,0
07/04/2012 05:00,0,0,0,0,0,0,0,0
07/04/2012 05:05,0,0,0,0,0,0,0,0
07/04/2012 05:10,0,0,0,0,0,0,0,0
07/04/2012 05:15,0,0,0,0,0,0,0,0
07/04/2012 05:20,0,0,0,0,0,0,0,0
