"","np","dist","gamma","dir.hor","dir.ver","id","ts","range"
"1",11599,21.0950231097249,1.1129056183032,0,0,"var1","2 min","< 5.0 mm/h"
"2",11599,48.270073544584,1.02415421274152,0,0,"var1","2 min","< 5.0 mm/h"
"3",57995,80.5350277676341,1.03609388164789,0,0,"var1","2 min","< 5.0 mm/h"
"4",92792,118.478362504836,1.07778492733569,0,0,"var1","2 min","< 5.0 mm/h"
"5",11599,157.537297171141,1.06925791078581,0,0,"var1","2 min","< 5.0 mm/h"
"6",46396,214.332932938351,1.0578251790152,0,0,"var1","2 min","< 5.0 mm/h"
"7",34797,282.493034515112,1.11810368444632,0,0,"var1","2 min","< 5.0 mm/h"
"8",23198,313.598261814431,1.05247963573988,0,0,"var1","2 min","< 5.0 mm/h"
"9",34797,372.731680381096,1.07230591036855,0,0,"var1","2 min","< 5.0 mm/h"
"10",528,21.0950231097287,1.0097729014579,0,0,"var1","2 min","5.0-10.0 mm/h"
"11",528,48.2700735445881,0.932844623947724,0,0,"var1","2 min","5.0-10.0 mm/h"
"12",2640,80.535027767622,1.08719631290356,0,0,"var1","2 min","5.0-10.0 mm/h"
"13",4224,118.478362504787,1.10473389449801,0,0,"var1","2 min","5.0-10.0 mm/h"
"14",528,157.537297171177,1.06609851377173,0,0,"var1","2 min","5.0-10.0 mm/h"
"15",2112,214.332932938359,1.13158539059685,0,0,"var1","2 min","5.0-10.0 mm/h"
"16",1584,282.493034515097,1.41410514893691,0,0,"var1","2 min","5.0-10.0 mm/h"
"17",1056,313.598261814339,1.1430367235151,0,0,"var1","2 min","5.0-10.0 mm/h"
"18",1584,372.731680381348,1.13721232622639,0,0,"var1","2 min","5.0-10.0 mm/h"
"19",165,21.095023109729,0.595843587104662,0,0,"var1","2 min","> 10.0 mm/h"
"20",165,48.2700735445887,1.07917685324559,0,0,"var1","2 min","> 10.0 mm/h"
"21",825,80.5350277676218,0.910487592289777,0,0,"var1","2 min","> 10.0 mm/h"
"22",1320,118.478362504791,1.00379272700726,0,0,"var1","2 min","> 10.0 mm/h"
"23",165,157.537297171178,1.09738418609641,0,0,"var1","2 min","> 10.0 mm/h"
"24",660,214.33293293836,1.20207304951523,0,0,"var1","2 min","> 10.0 mm/h"
"25",495,282.493034515092,1.38796204580681,0,0,"var1","2 min","> 10.0 mm/h"
"26",330,313.598261814336,1.32498102959167,0,0,"var1","2 min","> 10.0 mm/h"
"27",495,372.731680381351,1.64287011046375,0,0,"var1","2 min","> 10.0 mm/h"
"28",6358,21.0950231097265,1.06885443955161,0,0,"var1","5 min","< 5.0 mm/h"
"29",6358,48.2700735445845,1.03081967833299,0,0,"var1","5 min","< 5.0 mm/h"
"30",31790,80.5350277676245,1.06626509773314,0,0,"var1","5 min","< 5.0 mm/h"
"31",50864,118.478362504817,1.09720811495193,0,0,"var1","5 min","< 5.0 mm/h"
"32",6358,157.537297171189,1.10298167794053,0,0,"var1","5 min","< 5.0 mm/h"
"33",25432,214.332932938348,1.10209549307532,0,0,"var1","5 min","< 5.0 mm/h"
"34",19074,282.493034515106,1.19728219126813,0,0,"var1","5 min","< 5.0 mm/h"
"35",12716,313.598261814332,1.14116671878582,0,0,"var1","5 min","< 5.0 mm/h"
"36",19074,372.731680381284,1.14646994159785,0,0,"var1","5 min","< 5.0 mm/h"
"37",193,21.095023109729,0.786313410900195,0,0,"var1","5 min","5.0-10.0 mm/h"
"38",193,48.2700735445887,0.896509436021781,0,0,"var1","5 min","5.0-10.0 mm/h"
"39",965,80.5350277676214,0.976003032556837,0,0,"var1","5 min","5.0-10.0 mm/h"
"40",1544,118.47836250479,1.06557826307925,0,0,"var1","5 min","5.0-10.0 mm/h"
"41",193,157.537297171178,1.06692929602143,0,0,"var1","5 min","5.0-10.0 mm/h"
"42",772,214.33293293836,1.20707594754002,0,0,"var1","5 min","5.0-10.0 mm/h"
"43",579,282.493034515093,1.32966929759302,0,0,"var1","5 min","5.0-10.0 mm/h"
"44",386,313.598261814335,1.2746258664926,0,0,"var1","5 min","5.0-10.0 mm/h"
"45",579,372.731680381351,1.44176767193223,0,0,"var1","5 min","5.0-10.0 mm/h"
"46",60,21.095023109729,0.513746238203239,0,0,"var1","5 min","> 10.0 mm/h"
"47",60,48.2700735445887,1.04244694645891,0,0,"var1","5 min","> 10.0 mm/h"
"48",300,80.535027767622,0.949634489324329,0,0,"var1","5 min","> 10.0 mm/h"
"49",480,118.478362504792,0.946432624017111,0,0,"var1","5 min","> 10.0 mm/h"
"50",60,157.537297171178,0.849086211692516,0,0,"var1","5 min","> 10.0 mm/h"
"51",240,214.332932938359,1.17505862191392,0,0,"var1","5 min","> 10.0 mm/h"
"52",180,282.493034515091,1.51610632404859,0,0,"var1","5 min","> 10.0 mm/h"
"53",120,313.598261814337,1.38166371790587,0,0,"var1","5 min","> 10.0 mm/h"
"54",180,372.73168038135,1.71005020128799,0,0,"var1","5 min","> 10.0 mm/h"
"55",3030,21.09502310973,1.02242639907566,0,0,"var1","15 min","< 5.0 mm/h"
"56",3030,48.2700735445859,0.934609570609699,0,0,"var1","15 min","< 5.0 mm/h"
"57",15150,80.5350277676242,1.06205087783639,0,0,"var1","15 min","< 5.0 mm/h"
"58",24240,118.478362504798,1.04184552170223,0,0,"var1","15 min","< 5.0 mm/h"
"59",3030,157.537297171187,1.0335763262031,0,0,"var1","15 min","< 5.0 mm/h"
"60",12120,214.332932938339,1.15529360208087,0,0,"var1","15 min","< 5.0 mm/h"
"61",9090,282.493034515079,1.31371770462898,0,0,"var1","15 min","< 5.0 mm/h"
"62",6060,313.598261814333,1.25098437466883,0,0,"var1","15 min","< 5.0 mm/h"
"63",9090,372.731680381399,1.22905326586961,0,0,"var1","15 min","< 5.0 mm/h"
"64",55,21.095023109729,0.492964934964602,0,0,"var1","15 min","5.0-10.0 mm/h"
"65",55,48.2700735445887,0.637586535689422,0,0,"var1","15 min","5.0-10.0 mm/h"
"66",275,80.535027767622,0.862020003884011,0,0,"var1","15 min","5.0-10.0 mm/h"
"67",440,118.478362504792,0.951607148534079,0,0,"var1","15 min","5.0-10.0 mm/h"
"68",55,157.537297171178,0.89819522012519,0,0,"var1","15 min","5.0-10.0 mm/h"
"69",220,214.332932938359,1.30052869914065,0,0,"var1","15 min","5.0-10.0 mm/h"
"70",165,282.493034515091,1.59236501760257,0,0,"var1","15 min","5.0-10.0 mm/h"
"71",110,313.598261814337,1.4521312456604,0,0,"var1","15 min","5.0-10.0 mm/h"
"72",165,372.73168038135,1.6857276528649,0,0,"var1","15 min","5.0-10.0 mm/h"
"73",19,21.095023109729,0.080748344500253,0,0,"var1","15 min","> 10.0 mm/h"
"74",19,48.2700735445887,0.441715698226566,0,0,"var1","15 min","> 10.0 mm/h"
"75",95,80.5350277676219,0.938909830621523,0,0,"var1","15 min","> 10.0 mm/h"
"76",152,118.478362504791,0.856447608882546,0,0,"var1","15 min","> 10.0 mm/h"
"77",19,157.537297171178,0.678386291038417,0,0,"var1","15 min","> 10.0 mm/h"
"78",76,214.332932938359,1.1973427208556,0,0,"var1","15 min","> 10.0 mm/h"
"79",57,282.493034515092,1.67450957817307,0,0,"var1","15 min","> 10.0 mm/h"
"80",38,313.598261814337,1.67739916213434,0,0,"var1","15 min","> 10.0 mm/h"
"81",57,372.73168038135,1.92435852113049,0,0,"var1","15 min","> 10.0 mm/h"
"82",1936,21.0950231097297,0.974303480008963,0,0,"var1","30 min","< 5.0 mm/h"
"83",1936,48.2700735445874,0.873730958074993,0,0,"var1","30 min","< 5.0 mm/h"
"84",9680,80.535027767624,1.07707285409251,0,0,"var1","30 min","< 5.0 mm/h"
"85",15488,118.478362504797,1.01240845944184,0,0,"var1","30 min","< 5.0 mm/h"
"86",1936,157.537297171185,0.978913210123838,0,0,"var1","30 min","< 5.0 mm/h"
"87",7744,214.332932938345,1.1800764559537,0,0,"var1","30 min","< 5.0 mm/h"
"88",5808,282.493034515087,1.36518538197428,0,0,"var1","30 min","< 5.0 mm/h"
"89",3872,313.598261814334,1.26027919239675,0,0,"var1","30 min","< 5.0 mm/h"
"90",5808,372.731680381386,1.27596882170072,0,0,"var1","30 min","< 5.0 mm/h"
"91",26,21.095023109729,0.192818300176685,0,0,"var1","30 min","5.0-10.0 mm/h"
"92",26,48.2700735445887,0.348329129473326,0,0,"var1","30 min","5.0-10.0 mm/h"
"93",130,80.535027767622,0.833797685035853,0,0,"var1","30 min","5.0-10.0 mm/h"
"94",208,118.478362504791,0.878506062449615,0,0,"var1","30 min","5.0-10.0 mm/h"
"95",26,157.537297171178,0.586027272709087,0,0,"var1","30 min","5.0-10.0 mm/h"
"96",104,214.332932938359,1.35433083220058,0,0,"var1","30 min","5.0-10.0 mm/h"
"97",78,282.493034515092,1.64454932767843,0,0,"var1","30 min","5.0-10.0 mm/h"
"98",52,313.598261814337,1.55778131432524,0,0,"var1","30 min","5.0-10.0 mm/h"
"99",78,372.73168038135,1.99135423161131,0,0,"var1","30 min","5.0-10.0 mm/h"
"100",7,21.095023109729,0.0162964571857427,0,0,"var1","30 min","> 10.0 mm/h"
"101",7,48.2700735445887,0.604495180310866,0,0,"var1","30 min","> 10.0 mm/h"
"102",35,80.535027767622,1.26201817645771,0,0,"var1","30 min","> 10.0 mm/h"
"103",56,118.478362504791,0.941083319293104,0,0,"var1","30 min","> 10.0 mm/h"
"104",7,157.537297171178,0.720074205825596,0,0,"var1","30 min","> 10.0 mm/h"
"105",28,214.332932938359,1.18325516579305,0,0,"var1","30 min","> 10.0 mm/h"
