"","model","psill","range","kappa","ang1","ang2","ang3","anis1","anis2"
"1","Nug",1.14301764392944,0,0,0,0,0,1,1
"2","Exp",3.94542059013789,9539.00825813617,0.5,0,0,0,1,1
"3","Nug",0.980666726946534,0,0,0,0,0,1,1
"4","Exp",0.330819169801212,253.939870242186,0.5,0,0,0,1,1
"5","Nug",0,0,0,0,0,0,1,1
"6","Exp",1.06165857459368,26.7526846931375,0.5,0,0,0,1,1
"7","Nug",1.06168674431128,0,0,0,0,0,1,1
"8","Exp",3.06229914582076,9354.66837051928,0.5,0,0,0,1,1
"9","Nug",0.697148266987285,0,0,0,0,0,1,1
"10","Exp",0.799152191189023,194.066815896887,0.5,0,0,0,1,1
"11","Nug",0.541204151261509,0,0,0,0,0,1,1
"12","Exp",2.33798194926627,584.976128449256,0.5,0,0,0,1,1
"13","Nug",1.03264761785405,0,0,0,0,0,1,1
"14","Exp",17.2941445542819,16484.4130245647,0.5,0,0,0,1,1
"15","Nug",0.400480220814221,0,0,0,0,0,1,1
"16","Exp",1.50655570706209,233.930057490045,0.5,0,0,0,1,1
"17","Nug",0,0,0,0,0,0,1,1
"18","Exp",1.92650089504039,169.021255444357,0.5,0,0,0,1,1
"19","Nug",0.973433266563019,0,0,0,0,0,1,1
"20","Exp",19.9159321915674,16484.4226198547,0.5,0,0,0,1,1
"21","Nug",0.0146123799361186,0,0,0,0,0,1,1
"22","Exp",1.91761074524081,177.429371918183,0.5,0,0,0,1,1
"23","Nug",0,0,0,0,0,0,1,1
"24","Exp",1.58677067712208,87.3565372391075,0.5,0,0,0,1,1
