,X1,X2,X3,X4,X5,X6,X7,X8,,
07/07/2012 19:26,0,0,0,0,0,0,0,0,,
07/07/2012 19:28,0,0,0,0,0,0,0,0,,
07/07/2012 19:30,5.925,2.955,0,0,0,6.045,3,6.09,,
07/07/2012 19:32,100.725,62.535,30.09,41.52,23.805,87.63,48.18,97.44,61.490625,30.46838073
07/07/2012 19:34,74.07,98.595,99.51,89.13,92.295,90.69,99.54,94.395,92.278125,8.395473669
07/07/2012 19:36,62.205,62.715,60.33,65.34,68.49,51.39,60.3,45.675,,
07/07/2012 19:38,20.745,26.895,39.21,41.58,47.655,30.225,36.21,18.27,,
07/07/2012 19:40,17.775,20.925,24.12,20.805,20.835,21.165,21.09,18.27,,
07/07/2012 19:42,8.88,17.91,18.09,20.775,23.82,18.135,21.12,18.27,,
07/07/2012 19:44,11.85,11.94,9.06,8.925,8.94,9.06,9.03,9.135,,
07/07/2012 19:46,0,3.015,6.03,5.94,5.955,3.03,6.03,3.045,,
07/07/2012 19:48,5.925,2.955,6.03,2.955,2.97,6.045,3.03,3.045,,
07/07/2012 19:50,0,0,0,0,2.985,0,0,3.045,,
07/07/2012 19:52,0,5.97,3,2.985,0,3.015,3,0,,
07/07/2012 19:54,5.925,0,3.03,2.955,5.955,3.03,3.03,6.09,,
07/07/2012 19:56,5.925,5.97,6.03,5.94,2.97,6.045,6.03,6.09,,
07/07/2012 19:58,2.97,5.97,3,2.985,5.955,3.015,3,0,,
07/07/2012 20:00,2.955,0,3.03,2.955,2.985,3.03,3.03,0,,
07/07/2012 20:02,0,0,0,0,0,0,0,3.045,,
07/07/2012 20:04,0,0,0,0,0,0,0,3.045,,
07/07/2012 20:06,5.925,5.97,3,2.985,2.97,3.015,6.03,3.045,,
07/07/2012 20:08,0,0,3.03,2.955,2.985,3.03,0,3.045,,
07/07/2012 20:10,5.925,5.97,3,2.985,0,3.015,3,0,,
07/07/2012 20:12,2.97,0,3.03,2.955,5.955,3.03,3.03,6.09,,
07/07/2012 20:14,2.955,5.97,3,2.985,2.97,3.015,3,0,,
07/07/2012 20:16,2.97,5.97,3.03,2.955,2.985,3.03,3.03,6.09,,
07/07/2012 20:18,2.955,0,3,2.985,0,3.015,3,0,,
07/07/2012 20:20,0,0,3.03,2.955,2.97,3.03,3.03,3.045,,
07/07/2012 20:22,5.925,5.97,0,0,2.985,0,0,3.045,,
07/07/2012 20:24,2.97,0,3,2.985,2.97,6.045,3,3.045,,
07/07/2012 20:26,2.955,5.97,6.03,5.94,2.985,6.045,6.03,3.045,,
07/07/2012 20:28,2.97,5.97,3.03,2.955,5.955,0,3.03,6.09,,
07/07/2012 20:30,2.955,0,3,2.985,2.97,3.015,3,0,,
07/07/2012 20:32,0,0,3.03,0,0,3.03,0,0,,
07/07/2012 20:34,2.97,3.015,0,2.955,2.985,0,3.03,0,,
07/07/2012 20:36,0,2.955,0,0,0,0,0,6.09,,
07/07/2012 20:38,0,0,3,2.985,0,3.015,0,0,,
07/07/2012 20:40,2.955,0,0,0,2.97,0,3,0,,
07/07/2012 20:42,0,0,3.03,0,0,3.03,0,0,,
07/07/2012 20:44,0,0,0,2.955,2.985,0,3.03,0,,
07/07/2012 20:46,2.97,0,0,0,0,0,0,0,,
07/07/2012 20:48,0,0,0,0,0,0,0,0,,
07/07/2012 20:50,0,3.015,0,0,0,0,0,0,,
07/07/2012 20:52,0,0,0,0,0,0,0,0,,
07/07/2012 20:54,0,0,0,0,0,0,0,0,,
