"","X1","X2","X3","X4","X5","X6","X7","X8"
"2013-07-27 21:30:00",0,0,0,0,0,0,0,0
"2013-07-27 21:45:00",0.597,1.194,0,0.597,1.191,0.591,1.194,0.609
"2013-07-27 22:00:00",0.396,0.402,0.804,0.792,0.396,0.794,0.796,0.812
"2013-07-27 22:15:00",1.588,1.19,1.204,1.186,1.192,1.194,0.796,1.218
"2013-07-27 22:30:00",1.588,1.994,2.012,1.982,1.984,1.982,2.388,1.624
"2013-07-27 22:45:00",2.382,2.782,3.216,2.77,2.78,2.782,2.388,2.842
"2013-07-27 23:00:00",2.778,2.79,2.412,2.774,2.778,2.776,3.184,2.842
"2013-07-27 23:15:00",1.192,1.19,1.608,1.186,1.192,1.588,0.796,1.218
"2013-07-27 23:30:00",0.794,0.796,0.804,0.792,0.794,0.794,0.796,0.812
"2013-07-27 23:45:00",0.794,1.198,0.804,1.19,1.19,0.794,1.188,0.812
"2013-07-28 00:00:00",2.778,2.782,3.216,3.168,2.78,3.176,3.184,3.248
"2013-07-28 00:15:00",12.308,13.138,13.268,13.066,13.1,13.498,13.532,13.804
"2013-07-28 00:30:00",4.366,4.776,4.824,3.96,4.368,4.37,3.98,4.466
"2013-07-28 00:45:00",4.764,4.776,4.02,4.752,4.366,4.364,4.776,4.872
"2013-07-28 01:00:00",4.764,5.178,5.628,5.544,5.558,5.558,5.168,4.872
"2013-07-28 01:15:00",3.572,4.374,4.02,3.96,3.97,3.97,3.98,4.06
"2013-07-28 01:30:00",1.192,0.796,1.608,1.186,1.192,0.794,1.592,0.812
"2013-07-28 01:45:00",2.778,3.184,2.816,2.774,3.176,3.176,2.78,3.248
"2013-07-28 02:00:00",1.986,1.592,1.608,1.584,1.588,1.588,1.592,2.03
"2013-07-28 02:15:00",5.16,5.572,5.224,5.146,5.16,5.558,5.572,4.872
"2013-07-28 02:30:00",5.956,6.368,6.836,7.128,6.75,7.146,6.76,6.496
"2013-07-28 02:45:00",3.176,3.184,3.216,3.168,3.176,2.776,3.184,3.248
"2013-07-28 03:00:00",1.19,1.592,1.608,1.584,1.588,1.588,1.592,1.218
"2013-07-28 03:15:00",0.398,0.402,0.4,0,0.794,0.4,0,0.406
"2013-07-28 03:30:00",0.396,0.394,0.404,0.792,0,0.394,0.796,0.406
"2013-07-28 03:45:00",4.764,4.382,3.216,3.96,3.97,3.97,3.98,4.06
"2013-07-28 04:00:00",5.954,6.762,6.432,6.336,6.352,6.352,6.368,5.684
"2013-07-28 04:15:00",7.542,7.566,7.64,7.92,7.94,7.54,7.556,6.496
"2013-07-28 04:30:00",17.864,17.11,15.68,17.03,16.674,14.692,14.72,15.834
"2013-07-28 04:45:00",21.44,22.288,20.904,21.782,22.232,20.644,21.088,21.112
"2013-07-28 05:00:00",8.734,8.756,8.844,8.708,8.338,7.94,7.556,8.12
"2013-07-28 05:15:00",4.366,3.98,3.616,4.358,3.97,3.57,3.576,3.654
"2013-07-28 05:30:00",3.176,3.586,3.62,3.168,3.97,3.176,3.98,3.248
"2013-07-28 05:45:00",2.382,2.979,2.412,2.376,2.382,2.382,1.194,2.436
"2013-07-28 06:00:00",0,0,0,0,0,0,0,0
