,pred,sd,CI95up,CI95low,CI50up,CI50low
1,9.851427014,0.571811636,10.97215723,8.730696802,10.2371081,9.465745927
2,5.669535242,0.352622561,6.360662762,4.978407721,5.907375545,5.431694938
3,9.865227248,0.525744712,10.89566795,8.834786548,10.21983667,9.510617829
4,9.784593833,1.046041326,11.83479716,7.734390508,10.49013799,9.07904968
5,8.231187582,0.740485849,9.682513177,6.779861987,8.730637698,7.731737467
6,5.586121892,0.373667991,6.318497696,4.853746088,5.838157122,5.334086662
7,7.327366918,0.946011748,9.181515873,5.473217962,7.965442146,6.68929169
8,22.12050679,0.888509232,23.86195288,20.37906069,22.71979716,21.52121642
9,23.85000155,0.829292483,25.47538495,22.22461815,24.40935083,23.29065227
10,26.665148,1.597582058,29.7963513,23.5339447,27.74270072,25.58759528
11,60.56106712,1.535115517,63.56983825,57.55229599,61.5964868,59.52564744
12,9.71272026,0.474819376,10.64334914,8.782091384,10.03298106,9.392459457
13,92.16207433,3.035062044,98.11068663,86.21346204,94.20919257,90.1149561
14,20.61826823,1.199474585,22.96919522,18.26734125,21.42730155,19.80923492
15,47.62269753,3.592631293,54.66412548,40.58126959,50.04589052,45.19950455
16,9.403036846,0.335686671,10.06097063,8.745103061,9.629454065,9.176619627
17,40.74743454,0.98054712,42.66927159,38.8255975,41.40880353,40.08606556
18,29.27529077,0.524007113,30.30232584,28.2482557,29.62872819,28.92185334
19,24.28752548,0.682601605,25.62540004,22.94965092,24.74793327,23.8271177
20,8.697804332,0.342412411,9.368920325,8.026688339,8.928757994,8.466850671
21,5.114543773,0.174791128,5.457128089,4.771959458,5.232438597,4.996648949
22,6.957198043,0.224561307,7.397330117,6.51706597,7.108662343,6.805733744
23,8.535685893,0.427840069,9.374237019,7.697134768,8.824259634,8.247112152
24,6.65266578,0.204292132,7.053071,6.25226056,6.790458729,6.514872831
25,5.112054264,0.173298684,5.451713442,4.772395086,5.228942449,4.995166078
26,5.323248494,0.203421787,5.721947871,4.924549117,5.460454405,5.186042583
27,12.68091026,0.792538513,14.2342572,11.12756332,13.21546936,12.14635116
28,11.65432449,0.509505776,12.65293746,10.65571152,11.99798091,11.31066806
29,16.59801176,1.034753766,18.62609187,14.56993164,17.29594256,15.90008095
30,38.30595072,1.900554598,42.03096929,34.58093216,39.58785532,37.02404613
31,7.187140967,0.217395797,7.6132289,6.761053034,7.333772204,7.04050973
32,75.25928946,4.166649025,83.42577149,67.09280744,78.06965152,72.4489274
33,12.64844168,0.817017541,14.24976664,11.04711673,13.19951164,12.09737172
34,43.13755585,1.660521619,46.39211842,39.88299328,44.25756066,42.01755104
35,7.932216499,0.378480265,8.674024188,7.190408811,8.187497559,7.67693544
36,37.87919042,0.948608425,39.73842877,36.01995208,38.51901708,37.23936376
37,26.49778749,0.546695286,27.56929056,25.42628442,26.86652786,26.12904713
38,16.44432203,0.461344101,17.34853986,15.54010421,16.7554939,16.13315017
39,7.776745676,0.157945737,8.086313631,7.467177721,7.883278456,7.670212896
40,4.154390924,0.067077285,4.285859986,4.022921862,4.199633865,4.109147983
41,5.345931051,0.101384238,5.544640506,5.147221596,5.41431368,5.277548421
42,6.641468933,0.088539754,6.815003662,6.467934203,6.701188089,6.581749776
43,5.080768803,0.108125814,5.292691504,4.868846102,5.153698557,5.00783905
44,3.784896091,0.109355892,3.999229702,3.570562481,3.85865552,3.711136663
45,5.079886426,0.100504616,5.276871853,4.882900998,5.147675759,5.012097092
46,9.063442094,0.275072433,9.602574156,8.524310032,9.248975631,8.877908558
47,7.237096912,0.169770834,7.569841633,6.904352191,7.3516056,7.122588225
48,15.31663802,0.228717707,15.76491648,14.86835955,15.47090577,15.16237027
49,15.70861992,0.498335641,16.68533983,14.73190001,16.0447422,15.37249764
50,5.435475949,0.173655651,5.77583477,5.095117128,5.552604906,5.318346993
51,38.54446537,1.628318621,41.73591122,35.35301952,39.64274959,37.44618115
52,9.982742875,0.255671367,10.48384955,9.481636203,10.15519059,9.810295158
53,20.04411466,0.738356314,21.49126644,18.59696288,20.54212843,19.5461009
54,5.071999139,0.094470169,5.257157267,4.886841011,5.135718299,5.008279979
55,15.75923747,0.289433671,16.32651704,15.1919579,15.95445751,15.56401742
56,21.41649672,0.201541631,21.81151106,21.02148238,21.55243449,21.28055896
57,11.95023709,0.160707736,12.26521846,11.63525572,12.05863281,11.84184137
58,6.210342631,0.10075245,6.407813804,6.012871457,6.278299125,6.142386136
59,3.940250778,0.019513569,3.97849667,3.902004885,3.95341248,3.927089075
60,5.137595699,0.085661226,5.305488617,4.969702781,5.195373318,5.07981808
61,3.830405846,0.028663313,3.886584907,3.774226786,3.849738957,3.811072736
62,3.972856155,0.021842411,4.015666494,3.930045815,3.987588637,3.958123672
63,2.982878168,0.016129938,3.014492266,2.95126407,2.993757646,2.97199869
64,4.115386143,0.028966864,4.172160153,4.058612134,4.134923996,4.09584829
65,4.908051599,0.079552548,5.063971728,4.75213147,4.961708977,4.854394221
66,6.133257353,0.044407304,6.22029407,6.046220636,6.163209624,6.103305081
67,7.602173965,0.229923282,8.052815318,7.151532613,7.757254862,7.447093068
68,12.68640287,0.352228443,13.37675793,11.99604781,12.92397734,12.4488284
69,4.343156164,0.045502245,4.432338925,4.253973404,4.373846962,4.312465367
70,21.07234482,0.32072291,21.70095017,20.44373946,21.28866913,20.8560205
71,9.056980924,0.190617877,9.430585097,8.68337675,9.185550728,8.92841112
72,18.72308646,0.39517945,19.49762395,17.94854897,18.98963095,18.45654197
73,4.911066977,0.031701803,4.97320137,4.848932584,4.932449519,4.889684436
74,12.58613131,0.217764578,13.01294204,12.15932058,12.73301129,12.43925134
75,14.91918368,0.325891003,15.55791831,14.28044905,15.13899382,14.69937353
76,10.78926348,0.175393685,11.13302879,10.44549818,10.90756473,10.67096224
